lon,lat,lnBCF_pred
85.305550,45.118772,4.891497
122.935952,45.419420,4.681582
84.734142,45.010015,5.562744
85.360940,45.124196,4.598601
85.314569,45.111372,4.866654
84.683706,44.991638,5.482123
84.798326,45.008357,4.640508
84.804280,45.009456,4.854218
85.355024,45.105097,4.598601
84.801424,44.999910,4.919662
84.813331,45.002107,4.832040
84.804522,44.991462,4.904126
84.795715,44.980817,5.007545
84.801666,44.981916,5.039546
84.769064,44.966873,5.386112
84.775013,44.967973,5.681987
84.804761,44.973468,4.787610
84.810712,44.974567,4.907670
85.365612,45.075427,4.517406
85.377577,45.077568,4.709769
85.325258,45.063686,4.426263
84.950749,44.991290,4.861076
85.302857,45.055155,4.282935
85.308835,45.056229,4.259631
85.314814,45.057302,4.441799
85.320792,45.058375,4.281204
85.326771,45.059448,4.401586
85.344710,45.062665,4.335578
85.350691,45.063736,4.298571
85.932371,45.166283,4.794169
84.732088,44.946500,5.047005
84.940371,44.984879,5.190135
85.328285,45.055210,4.432657
85.933845,45.162030,4.751100
85.323819,45.049900,4.401586
85.353714,45.055259,4.383748
85.295448,45.040296,4.094307
85.307401,45.042443,4.155243
85.355225,45.051021,4.195288
85.361205,45.052092,4.177920
85.022438,44.986355,4.384017
84.708577,44.924104,5.015124
84.714519,44.925206,5.469936
84.930388,44.942468,4.780328
85.033153,44.956746,4.065568
85.117242,44.881872,4.624599
83.600213,44.590591,4.491059
85.035459,44.862489,4.433794
83.613555,44.588706,4.729761
83.619420,44.589858,4.523933
83.603440,44.582210,4.410211
85.074196,44.860527,4.654126
83.635984,44.579587,4.490685
83.641849,44.580738,4.529524
83.750159,44.561365,4.671506
83.979248,44.605803,4.618787
83.640351,44.535371,4.514362
83.647819,44.532329,4.363266
84.133186,44.531710,4.251879
84.148088,44.525547,4.609379
84.202584,44.531441,4.340979
84.151229,44.517135,4.380623
84.211599,44.524146,4.301238
84.321337,44.499930,4.396159
84.665398,44.505927,4.393982
85.599817,44.661837,4.787431
86.393480,44.780968,4.939279
86.429420,44.787033,4.713372
84.654071,44.467779,4.266057
86.388912,44.775691,4.572639
86.409717,44.770194,4.964701
86.415705,44.771204,4.850664
86.418542,44.762672,4.683456
86.413972,44.757396,4.727584
86.419959,44.758406,4.850664
86.437923,44.761434,4.725465
86.409403,44.752119,4.797494
86.415389,44.753130,4.774190
86.445328,44.758176,4.787431
86.454146,44.750651,4.898299
86.476351,44.740871,4.459614
86.476012,44.722794,5.135310
85.832829,44.608136,5.135711
85.838781,44.609174,5.321700
85.844732,44.610212,5.096872
85.856637,44.612286,4.962327
86.435532,44.711476,4.678859
86.441516,44.712484,4.691224
86.032275,44.633717,4.688745
86.444342,44.703950,5.109916
86.522146,44.717025,4.764305
86.489050,44.702461,5.280369
85.359252,44.501916,4.300935
86.466526,44.694170,5.148755
86.514398,44.702212,4.863875
85.366657,44.498737,4.200940
85.782068,44.572243,4.498453
86.479902,44.691915,5.295905
85.599371,44.535620,4.473621
85.605306,44.536668,4.333000
85.611242,44.537717,4.371839
85.623115,44.539812,4.263090
85.777577,44.566953,4.619208
85.814706,44.568937,4.557799
85.820653,44.569975,4.535174
86.494686,44.685389,5.249297
86.542558,44.693418,4.725465
86.548543,44.694420,4.506221
85.400713,44.491314,4.061898
86.543963,44.689148,4.691224
86.549948,44.690150,4.376697
85.402191,44.487074,4.104455
85.408115,44.488132,4.154254
85.704697,44.540663,4.314167
86.234600,44.632372,4.795199
86.461616,44.670821,4.892673
86.509467,44.678861,4.784261
86.521433,44.680868,4.644618
86.539384,44.683877,4.842896
85.700217,44.535372,4.248855
85.795282,44.552031,4.495311
85.807171,44.554108,4.489923
86.182328,44.618943,4.768600
