lon,lat,lnBCF_pred
83.269984,46.658163,1.264430
83.022076,46.250551,1.506947
83.028091,46.251768,1.529426
125.105743,45.725529,2.200684
124.003541,45.890273,2.223054
123.927778,45.822070,2.224438
123.944543,45.814671,2.116744
123.936958,45.811462,2.246320
124.083093,45.732044,2.317652
124.080200,45.687410,2.034863
123.653155,45.756093,2.129511
123.657772,45.750798,2.171279
123.583199,45.758887,2.379897
123.581732,45.754622,2.405010
82.260132,44.963028,1.268169
82.256018,44.957648,1.031209
82.251905,44.952268,1.261494
124.178810,45.638660,2.192548
82.259481,44.949347,1.232920
82.265326,44.950576,1.215870
124.246959,45.613208,2.095860
124.253013,45.612147,2.193498
124.233341,45.611079,2.356447
124.245449,45.608959,2.107913
124.251502,45.607899,2.078375
124.237885,45.605770,2.052328
124.243938,45.604710,2.148875
124.249991,45.603650,2.183056
124.262096,45.601529,2.052328
124.236376,45.601521,1.993712
124.242428,45.600462,2.201234
124.248481,45.599402,2.191498
124.254533,45.598342,2.076588
124.266636,45.596220,2.022789
124.228814,45.598332,1.771937
124.234867,45.597273,2.215628
124.240919,45.596213,2.222118
124.213693,45.591951,2.317652
125.327594,45.391078,2.096806
125.332003,45.385745,1.961791
124.349749,45.522946,2.226243
124.330114,45.521890,2.116842
124.336155,45.520827,2.148168
124.342195,45.519763,2.137726
124.348235,45.518700,2.182350
124.328602,45.517644,2.127285
124.334643,45.516581,2.148168
124.340683,45.515517,2.202848
124.346722,45.514454,2.232560
124.327091,45.513397,2.286326
124.333130,45.512334,2.192792
124.339170,45.511271,2.385523
124.351248,45.509144,2.285071
124.319539,45.510213,2.226070
124.325579,45.509151,2.099910
124.331619,45.508088,2.406407
124.337658,45.507025,2.296769
124.311989,45.507028,2.278083
124.318029,45.505966,2.205186
124.324068,45.504904,2.311162
124.330107,45.503842,2.375081
124.316518,45.501720,2.257199
124.322557,45.500657,2.425828
124.328596,45.499595,2.222118
124.334634,45.498532,2.286326
124.315008,45.497473,2.415385
124.339161,45.493223,2.148948
124.584884,45.445148,1.801195
124.336139,45.484731,2.071109
124.333118,45.476238,2.286326
124.339153,45.475175,2.286326
124.345189,45.474112,2.233266
124.351224,45.473049,2.138432
124.337643,45.470929,2.201940
124.343678,45.469866,2.000118
124.336133,45.466683,2.192792
124.342168,45.465620,2.192792
124.348202,45.464557,2.222118
124.360269,45.462431,2.116842
124.345181,45.456065,2.182350
124.351215,45.455002,2.116842
124.375328,45.432703,2.034961
80.488890,44.249300,1.521508
80.490703,44.245205,1.228785
80.496401,44.246508,1.399170
85.096873,45.184815,1.551521
80.689723,44.263462,1.365402
80.701140,44.266049,1.185328
80.718267,44.269927,1.258422
80.723977,44.271220,1.258422
80.697231,44.260654,1.365402
80.693323,44.255259,1.330992
80.699030,44.256552,1.422179
80.712245,44.255035,1.300190
80.742586,44.257390,1.268940
80.706224,44.240143,1.036181
80.645279,44.221812,1.227971
80.650980,44.223107,1.238413
80.811966,44.155823,0.792062
80.819454,44.153002,0.713389
80.809833,44.146326,0.437034
80.815535,44.147611,0.563367
80.821238,44.148896,0.551303
80.826940,44.150180,0.822356
80.832644,44.151464,0.977957
80.823021,44.144790,0.718376
80.830507,44.141967,0.884413
80.853320,44.147101,0.796925
80.701242,44.108269,0.566334
80.706935,44.109559,0.639428
80.714418,44.106745,0.591051
80.845476,44.136321,0.478209
80.847257,44.132214,0.976487
80.714090,44.093149,0.305208
80.719782,44.094437,0.649870
80.725476,44.095725,0.361327
123.458053,45.220588,2.648429
80.730165,44.056223,0.371769
80.460820,43.972390,0.753101
80.468287,43.969593,0.775628
123.526799,45.159459,2.439548
84.617821,44.826067,0.838192
122.279697,45.348082,2.191652
122.272254,45.344736,2.310889
122.193734,45.338924,2.124288
80.484446,43.932738,0.085519
122.271609,45.322298,2.191752
122.270263,45.318001,2.083902
122.268916,45.313703,2.063018
80.497283,43.917652,-0.114386
80.709757,43.844360,-0.007798
80.739517,43.833076,-0.186570
80.727823,43.816921,0.127219
80.619889,43.778942,1.354999
124.399872,44.779047,2.443663
124.405832,44.777993,2.489944
124.411792,44.776940,2.501167
121.934254,45.180583,2.488863
124.392433,44.775854,2.470573
124.398393,44.774801,2.454105
124.404353,44.773748,2.356643
80.676144,43.778201,0.617403
84.097178,44.493273,1.728355
84.103053,44.494399,1.715264
124.379035,44.773714,2.360126
124.390955,44.771609,2.361866
124.396915,44.770556,2.315374
84.098751,44.489069,2.098806
124.395437,44.766311,2.398269
124.370122,44.766274,2.314875
124.368646,44.762028,2.317652
84.115212,44.478704,1.411126
84.121086,44.479828,1.498631
124.361211,44.758833,2.235771
124.367171,44.757782,2.328801
124.373130,44.756730,2.041180
80.639732,43.747426,0.140979
80.645388,43.748710,0.669689
124.353777,44.755637,2.390747
124.365696,44.753536,2.117622
124.371654,44.752485,2.074998
124.370179,44.748239,2.044379
124.376137,44.747187,2.183056
80.701617,43.747949,0.685030
80.707276,43.749230,0.682063
80.712936,43.750511,0.514990
80.716469,43.742305,0.776041
80.722128,43.743586,0.661179
84.077670,44.444476,2.224214
80.718234,43.738202,0.834860
80.723894,43.739483,0.657345
84.080812,44.436067,2.445553
80.733082,43.732555,0.482599
84.129333,44.440856,1.640763
84.135204,44.441979,1.876878
84.141075,44.443101,1.938058
84.146946,44.444223,2.034560
84.130901,44.436650,1.407070
84.136771,44.437773,1.692468
84.142641,44.438895,1.490101
84.148512,44.440017,1.786446
84.138337,44.433567,1.239998
124.124435,44.750740,2.510827
122.095792,45.043132,2.483006
124.230548,44.691670,2.383260
124.229087,44.687421,2.649570
124.404768,44.629489,2.668645
124.410712,44.628438,2.543265
122.291980,44.958607,2.717731
124.046395,44.651653,2.434028
123.998895,44.641851,2.366152
122.132897,44.915760,2.679790
122.016525,44.929190,2.516647
122.022583,44.928260,2.280565
122.101312,44.916136,2.708367
122.125527,44.912395,2.731598
122.131579,44.911459,2.689754
122.137632,44.910523,2.530247
121.868442,44.942816,2.258628
122.019964,44.919653,2.616660
121.877971,44.932356,2.800788
122.023402,44.910115,2.606696
121.749291,44.947362,2.313463
121.882735,44.927127,2.620225
81.736526,43.738043,1.042838
81.698175,43.680263,0.595689
124.089457,44.500045,2.279041
124.088015,44.495792,2.028187
124.074688,44.493601,2.048264
123.999251,44.475136,2.393426
123.991873,44.471907,2.138914
124.175975,44.439950,2.581382
124.181909,44.438915,2.773065
81.828396,43.649797,0.658341
86.515716,44.544789,1.219047
123.846543,44.469879,2.346439
124.102044,44.425804,2.617150
123.839172,44.466638,2.430247
123.940253,44.449284,2.688016
123.843699,44.461359,2.398459
123.932881,44.446050,2.658940
123.938824,44.445027,2.761110
123.913624,44.444859,2.677574
124.059248,44.410715,2.424752
86.102440,44.425104,0.018901
86.097922,44.419825,0.752677
86.093405,44.414546,1.490231
86.099346,44.415567,1.478195
82.168650,43.573743,1.013627
121.320094,44.736564,2.473755
82.170307,43.569594,0.923416
82.244513,43.585226,1.259973
82.250224,43.586427,1.518711
82.240455,43.579874,1.721779
82.246165,43.581075,1.316532
123.432520,44.395855,2.100874
123.425176,44.392580,2.073651
123.431132,44.391584,2.207186
123.423788,44.388310,2.513077
85.739567,44.236072,0.988324
120.735866,44.793757,2.387773
121.572826,44.672113,2.394775
85.593360,44.205837,2.158014
85.652395,44.216253,2.156897
121.414291,44.691162,2.119069
85.594810,44.201592,2.178899
85.647937,44.210966,2.231109
121.429937,44.679843,2.129273
85.621314,44.197269,2.143806
121.428682,44.675526,2.171041
82.304265,43.543794,0.787522
82.309975,43.544991,0.891942
82.315684,43.546188,1.017246
121.974222,44.579890,2.540485
122.015085,44.569122,2.720183
122.057224,44.562643,2.492708
82.296139,43.533095,1.166061
82.353234,43.545053,1.298777
82.358946,43.546247,1.285564
122.049909,44.559267,2.470407
122.055928,44.558340,2.461907
82.366299,43.543286,1.006880
122.054632,44.554037,2.478200
82.362229,43.537938,1.027764
82.367940,43.539131,0.902460
86.163672,44.260012,1.601895
86.169600,44.261026,1.730719
86.187386,44.264068,1.762045
122.053337,44.549734,2.533526
122.059354,44.548808,2.512642
86.159156,44.254738,1.613288
86.165083,44.255752,1.665498
86.171011,44.256766,1.623730
86.176939,44.257780,1.762045
86.182867,44.258794,1.933176
122.058059,44.544505,2.331020
86.154641,44.249463,2.086839
86.160568,44.250478,2.139050
86.166494,44.251492,1.933176
86.172422,44.252506,1.613288
86.178349,44.253520,1.772487
86.184277,44.254533,1.816757
122.062780,44.539276,2.337651
86.156053,44.245203,2.118165
86.161979,44.246218,2.097282
86.167905,44.247232,1.845470
86.476511,44.299568,1.956020
82.363081,43.520125,0.965036
82.368790,43.521319,0.902384
86.157464,44.240943,1.876443
86.163390,44.241958,2.200751
86.169316,44.242972,1.672974
122.036126,44.534372,2.710557
122.042142,44.533447,2.622030
82.347595,43.512390,0.912826
82.359012,43.514777,0.975478
122.093683,44.516503,2.481316
122.099696,44.515575,2.491758
82.554101,43.537380,1.100858
123.850316,44.217104,2.481156
123.856239,44.216090,2.522522
123.874005,44.213044,2.512947
82.555729,43.533220,1.152756
123.842983,44.213859,2.575523
123.848906,44.212845,2.543406
123.854828,44.211830,2.626877
123.860750,44.210816,2.532157
123.866672,44.209801,2.565157
123.908116,44.202688,2.678280
123.919955,44.200653,2.481404
123.841573,44.209599,2.552900
123.912621,44.197412,2.356643
87.016920,44.334964,2.481143
122.795060,44.365411,2.457154
122.787745,44.362087,2.564928
86.419445,44.186430,2.336095
86.426764,44.183163,1.938143
86.432693,44.184163,2.107723
86.438623,44.185162,2.139050
86.398145,44.155832,2.065004
86.404071,44.156832,2.044120
86.409997,44.157832,1.948586
86.399535,44.151566,2.200751
86.405460,44.152566,2.044120
86.394999,44.146300,2.179361
86.400924,44.147300,2.242013
86.406849,44.148300,2.106772
87.370694,44.306441,2.267794
121.338795,44.495191,2.524110
86.452489,44.142489,1.831222
86.458415,44.143487,1.797327
86.464341,44.144484,1.927702
86.495361,44.145195,1.618415
86.496743,44.140927,1.617910
86.502671,44.141922,1.577098
86.508599,44.142916,1.440260
86.498125,44.136658,2.130288
86.504052,44.137653,2.182498
86.509980,44.138647,2.131540
86.515908,44.139642,2.030220
121.391667,44.460392,2.524816
86.549686,44.131799,2.400445
87.892443,44.343298,1.474427
121.395211,44.450866,2.187633
86.564296,44.125242,2.425844
86.570224,44.126233,2.325148
121.399997,44.445658,2.394699
121.404781,44.440450,2.540485
87.950264,44.338707,1.603699
121.052320,44.482917,2.016270
88.072797,44.348485,2.038541
88.078798,44.349401,2.013194
121.045060,44.479464,2.108205
88.009365,44.329779,2.004182
86.775568,44.128849,1.966091
86.781504,44.129829,2.062850
88.004649,44.324555,1.631880
88.010646,44.325474,1.851163
86.776929,44.124574,2.272892
87.862109,44.298101,1.694504
86.809328,44.120918,1.087006
120.929004,44.469137,1.525960
120.941092,44.467405,1.536402
120.921751,44.465674,1.679880
86.730339,44.094369,1.465104
87.958394,44.290447,1.777106
87.964386,44.291368,1.822162
87.970378,44.292289,1.874372
86.731701,44.090094,1.479379
86.743563,44.092058,1.764098
86.727134,44.084838,1.650420
86.738994,44.086802,1.907637
86.801029,44.088050,1.053346
87.921601,44.266780,1.289775
86.757656,44.067389,1.890587
86.836115,44.075830,1.001135
86.842048,44.076806,1.348617
86.847981,44.077782,1.254639
86.853915,44.078758,1.655404
86.855267,44.074480,1.537757
86.850687,44.069228,1.725849
86.856620,44.070203,1.809385
86.880354,44.074101,1.861595
86.886288,44.075075,2.114706
86.892222,44.076048,1.749382
86.852040,44.064950,1.719681
86.881704,44.069823,1.778059
86.887638,44.070797,1.861595
87.894678,44.231124,1.901905
86.883055,44.065545,2.252008
86.888988,44.066518,2.252008
86.894922,44.067491,2.345987
86.890338,44.062240,2.231124
86.854220,44.038311,1.878961
86.860150,44.039285,1.764098
86.931330,44.050957,2.202448
86.937263,44.051928,2.192006
86.949131,44.053868,1.992405
86.914878,44.043764,2.366469
86.920810,44.044736,2.335545
86.938609,44.047648,1.926897
86.944542,44.048619,2.108469
86.950476,44.049589,2.037562
87.939552,44.206539,1.306125
87.945535,44.207460,1.787548
87.951518,44.208381,1.710485
86.815428,44.022928,1.360683
86.922157,44.040456,2.491773
86.939954,44.043369,1.300419
86.945887,44.044339,2.012935
86.951821,44.045309,1.763658
86.810855,44.017675,1.324146
86.947232,44.040059,1.916455
86.966375,44.038687,2.093822
86.938057,44.029560,1.947781
86.909749,44.020427,1.895571
86.946676,44.021971,1.822477
88.062170,44.193842,1.974982
88.068155,44.194756,1.995866
88.080126,44.196583,1.603194
86.885495,43.998453,1.771451
88.058727,44.184315,1.760330
88.580388,44.262725,1.960918
88.581623,44.258408,2.026072
88.169009,44.192108,2.037651
86.948805,43.995323,1.728498
87.008104,44.004998,1.443101
87.014036,44.005964,1.327733
87.019968,44.006930,1.076564
87.033169,44.004579,0.917912
121.621757,44.214648,2.022545
87.028574,43.999332,1.156805
87.034505,44.000297,1.107890
88.322559,44.201795,2.299649
89.007671,44.302521,1.533581
87.023979,43.994085,1.676288
87.029910,43.995050,1.505247
87.035842,43.996015,1.505247
88.209983,44.180317,1.776583
88.497742,44.223475,2.199945
86.835692,43.958776,1.834610
87.013456,43.987873,2.272771
87.025316,43.989804,1.644962
87.031247,43.990768,1.567899
87.037178,43.991733,1.327733
87.043109,43.992697,1.505247
87.924149,44.132167,1.626444
87.930124,44.133087,1.943673
88.205255,44.175101,2.089844
88.211242,44.176008,1.807909
