lon,lat,lnBCF_pred
83.269984,46.658163,3.015599
83.022076,46.250551,3.291175
83.028091,46.251768,3.341848
125.105743,45.725529,3.927077
124.003541,45.890273,3.876381
123.927778,45.822070,3.846916
123.944543,45.814671,3.739482
123.936958,45.811462,3.970031
124.083093,45.732044,4.086360
124.080200,45.687410,3.733980
123.653155,45.756093,3.776518
123.657772,45.750798,3.818286
123.583199,45.758887,4.059826
123.581732,45.754622,4.141431
82.260132,44.963028,3.007179
82.256018,44.957648,2.749244
82.251905,44.952268,3.015083
124.178810,45.638660,3.844528
82.259481,44.949347,3.003871
82.265326,44.950576,2.941380
124.246959,45.613208,3.718598
124.253013,45.612147,3.841011
124.233341,45.611079,4.131940
124.245449,45.608959,3.795273
124.251502,45.607899,3.878272
124.237885,45.605770,3.692288
124.243938,45.604710,3.788835
124.249991,45.603650,3.830570
124.262096,45.601529,3.692288
124.236376,45.601521,3.658202
124.242428,45.600462,3.913448
124.248481,45.599402,3.903451
124.254533,45.598342,3.763947
124.266636,45.596220,3.663010
124.228814,45.598332,3.436427
124.234867,45.597273,3.916816
124.240919,45.596213,3.934332
124.213693,45.591951,4.086360
125.327594,45.391078,3.766008
125.332003,45.385745,3.678392
124.349749,45.522946,3.997353
124.330114,45.521890,3.757064
124.336155,45.520827,3.788390
124.342195,45.519763,3.777948
124.348235,45.518700,3.830125
124.328602,45.517644,3.767506
124.334643,45.516581,3.788390
124.340683,45.515517,3.825587
124.346722,45.514454,3.944775
124.327091,45.513397,4.055034
124.333130,45.512334,3.840567
124.339170,45.511271,4.136747
124.351248,45.509144,4.068217
124.319539,45.510213,3.927258
124.325579,45.509151,3.729105
124.331619,45.508088,4.157631
124.337658,45.507025,4.065475
124.311989,45.507028,4.020886
124.318029,45.505966,3.906374
124.324068,45.504904,4.068843
124.330107,45.503842,4.126305
124.316518,45.501720,4.000002
124.322557,45.500657,4.225123
124.328596,45.499595,3.934332
124.334634,45.498532,4.055034
124.315008,45.497473,4.214681
124.339161,45.493223,3.861163
124.584884,45.445148,3.502993
124.336139,45.484731,3.696528
124.333118,45.476238,4.055034
124.339153,45.475175,4.055034
124.345189,45.474112,3.945220
124.351224,45.473049,3.778393
124.337643,45.470929,3.913893
124.343678,45.469866,3.640078
124.336133,45.466683,3.840567
124.342168,45.465620,3.840567
124.348202,45.464557,3.934332
124.360269,45.462431,3.757064
124.345181,45.456065,3.830125
124.351215,45.455002,3.757064
124.375328,45.432703,3.751562
80.488890,44.249300,3.200069
80.490703,44.245205,2.850028
80.496401,44.246508,3.073328
85.096873,45.184815,3.221633
80.689723,44.263462,3.045065
80.701140,44.266049,2.849300
80.718267,44.269927,2.922394
80.723977,44.271220,2.922394
80.697231,44.260654,3.045065
80.693323,44.255259,2.993863
80.699030,44.256552,3.116878
80.712245,44.255035,2.964162
80.742586,44.257390,2.932912
80.706224,44.240143,2.725243
80.645279,44.221812,2.871593
80.650980,44.223107,2.882035
80.811966,44.155823,2.462411
80.819454,44.153002,2.351783
80.809833,44.146326,2.107382
80.815535,44.147611,2.247201
80.821238,44.148896,2.233479
80.826940,44.150180,2.463912
80.832644,44.151464,2.606028
80.823021,44.144790,2.400552
80.830507,44.141967,2.541520
80.853320,44.147101,2.435319
80.701242,44.108269,2.245764
80.706935,44.109559,2.318859
80.714418,44.106745,2.225042
80.845476,44.136321,2.160385
80.847257,44.132214,2.640460
80.714090,44.093149,1.984638
80.719782,44.094437,2.329300
80.725476,44.095725,1.995317
123.458053,45.220588,4.401239
80.730165,44.056223,2.005759
80.460820,43.972390,2.322188
80.468287,43.969593,2.371799
123.526799,45.159459,4.221360
84.617821,44.826067,2.557223
122.279697,45.348082,3.844980
122.272254,45.344736,4.110185
122.193734,45.338924,3.809678
80.484446,43.932738,1.649047
122.271609,45.322298,3.914862
122.270263,45.318001,3.814732
122.268916,45.313703,3.793849
80.497283,43.917652,1.547850
80.709757,43.844360,1.707100
80.739517,43.833076,1.396462
80.727823,43.816921,1.725538
80.619889,43.778942,2.986620
124.399872,44.779047,4.212109
124.405832,44.777993,4.241168
124.411792,44.776940,4.252130
121.934254,45.180583,4.311447
124.392433,44.775854,4.268934
124.398393,44.774801,4.222550
124.404353,44.773748,4.195548
80.676144,43.778201,2.274640
84.097178,44.493273,3.507763
84.103053,44.494399,3.485932
124.379035,44.773714,4.128572
124.390955,44.771609,4.218255
124.396915,44.770556,4.185286
84.098751,44.489069,4.006700
124.395437,44.766311,4.207933
124.370122,44.766274,4.153780
124.368646,44.762028,4.086360
84.115212,44.478704,3.182666
84.121086,44.479828,3.278039
124.361211,44.758833,4.080857
124.367171,44.757782,4.097247
124.373130,44.756730,3.681401
80.639732,43.747426,1.752776
80.645388,43.748710,2.326926
124.353777,44.755637,4.159454
124.365696,44.753536,3.829837
124.371654,44.752485,3.715220
124.370179,44.748239,3.684339
124.376137,44.747187,3.830570
80.701617,43.747949,2.319020
80.707276,43.749230,2.320457
80.712936,43.750511,2.153384
80.716469,43.742305,2.414435
80.722128,43.743586,2.299573
84.077670,44.444476,4.162330
80.718234,43.738202,2.518694
80.723894,43.739483,2.341179
84.080812,44.436067,4.431339
80.733082,43.732555,2.098800
84.129333,44.440856,3.395594
84.135204,44.441979,3.699298
84.141075,44.443101,3.701228
84.146946,44.444223,3.914258
84.130901,44.436650,3.154033
84.136771,44.437773,3.448085
84.142641,44.438895,3.237850
84.148512,44.440017,3.542063
84.138337,44.433567,2.986961
124.124435,44.750740,4.262052
122.095792,45.043132,4.199676
124.230548,44.691670,4.175975
124.229087,44.687421,4.395800
124.404768,44.629489,4.498014
124.410712,44.628438,4.372634
122.291980,44.958607,4.525995
124.046395,44.651653,4.249873
123.998895,44.641851,4.164514
122.132897,44.915760,4.461603
122.016525,44.929190,4.348334
122.022583,44.928260,3.989876
122.101312,44.916136,4.456611
122.125527,44.912395,4.544419
122.131579,44.911459,4.502576
122.137632,44.910523,4.329543
121.868442,44.942816,3.965655
122.019964,44.919653,4.429481
121.877971,44.932356,4.663246
122.023402,44.910115,4.388508
121.749291,44.947362,3.850269
121.882735,44.927127,4.420442
81.736526,43.738043,2.729114
81.698175,43.680263,2.337057
124.089457,44.500045,4.160712
124.088015,44.495792,3.741884
124.074688,44.493601,3.714563
123.999251,44.475136,4.306105
123.991873,44.471907,3.964092
124.175975,44.439950,4.494061
124.181909,44.438915,4.602435
81.828396,43.649797,2.399709
86.515716,44.544789,3.026371
123.846543,44.469879,4.276602
124.102044,44.425804,4.457822
123.839172,44.466638,4.205479
123.940253,44.449284,4.470248
123.843699,44.461359,4.206326
123.932881,44.446050,4.465440
123.938824,44.445027,4.543342
123.913624,44.444859,4.459806
124.059248,44.410715,4.337431
86.102440,44.425104,1.745551
86.097922,44.419825,2.516676
86.093405,44.414546,3.311393
86.099346,44.415567,3.271162
82.168650,43.573743,2.647522
121.320094,44.736564,4.051898
82.170307,43.569594,2.571890
82.244513,43.585226,3.035744
82.250224,43.586427,3.317741
82.240455,43.579874,3.534556
82.246165,43.581075,3.087483
123.432520,44.395855,3.811294
123.425176,44.392580,3.887070
123.431132,44.391584,3.843934
123.423788,44.388310,4.288569
85.739567,44.236072,2.700518
120.735866,44.793757,4.163265
121.572826,44.672113,3.899114
85.593360,44.205837,4.047957
85.652395,44.216253,4.040999
121.414291,44.691162,3.766077
85.594810,44.201592,4.068841
85.647937,44.210966,4.121051
121.429937,44.679843,3.740985
85.621314,44.197269,4.019168
121.428682,44.675526,3.782753
82.304265,43.543794,2.547602
