lon,lat,lnBCF_pred
83.269984,46.658163,-1.712006
83.022076,46.250551,-1.692290
83.028091,46.251768,-1.733697
125.105743,45.725529,-2.017170
124.003541,45.890273,-2.088550
123.927778,45.822070,-1.977681
123.944543,45.814671,-2.003692
123.936958,45.811462,-2.077009
124.083093,45.732044,-2.117274
124.080200,45.687410,-1.933149
123.653155,45.756093,-2.046144
123.657772,45.750798,-2.046144
123.583199,45.758887,-2.055205
123.581732,45.754622,-2.119036
82.260132,44.963028,-1.816953
82.256018,44.957648,-1.786367
82.251905,44.952268,-1.807888
124.178810,45.638660,-1.992137
82.259481,44.949347,-1.724082
82.265326,44.950576,-1.812333
124.246959,45.613208,-2.003692
124.253013,45.612147,-1.945771
124.233341,45.611079,-2.188836
124.245449,45.608959,-1.880189
124.251502,45.607899,-1.991592
124.237885,45.605770,-1.961200
124.243938,45.604710,-1.945189
124.249991,45.603650,-1.945771
124.262096,45.601529,-1.961200
124.236376,45.601521,-1.997641
124.242428,45.600462,-2.050060
124.248481,45.599402,-2.040061
124.254533,45.598342,-1.880189
124.266636,45.596220,-1.955189
124.228814,45.598332,-2.013652
124.234867,45.597273,-2.133242
124.240919,45.596213,-2.050060
124.213693,45.591951,-2.117274
125.327594,45.391078,-1.949645
125.332003,45.385745,-1.884645
124.349749,45.522946,-2.012009
124.330114,45.521890,-1.955189
124.336155,45.520827,-1.955189
124.342195,45.519763,-1.955189
124.348235,45.518700,-1.955770
124.328602,45.517644,-1.955189
124.334643,45.516581,-1.955189
124.340683,45.515517,-1.987681
124.346722,45.514454,-2.050060
124.327091,45.513397,-2.117274
124.333130,45.512334,-1.955770
124.339170,45.511271,-2.146384
124.351248,45.509144,-2.094383
124.319539,45.510213,-2.133242
124.325579,45.509151,-2.038371
124.331619,45.508088,-2.146384
124.337658,45.507025,-2.117274
124.311989,45.507028,-2.145380
124.318029,45.505966,-2.133242
124.324068,45.504904,-2.200456
124.330107,45.503842,-2.146384
124.316518,45.501720,-2.145380
124.322557,45.500657,-2.212594
124.328596,45.499595,-2.050060
124.334634,45.498532,-2.117274
124.315008,45.497473,-2.212594
124.339161,45.493223,-2.050060
124.584884,45.445148,-1.873309
124.336139,45.484731,-1.943853
124.333118,45.476238,-2.117274
124.339153,45.475175,-2.117274
124.345189,45.474112,-2.040061
124.351224,45.473049,-1.945189
124.337643,45.470929,-2.040061
124.343678,45.469866,-1.961200
124.336133,45.466683,-1.955770
124.342168,45.465620,-1.955770
124.348202,45.464557,-2.050060
124.360269,45.462431,-1.955189
124.345181,45.456065,-1.955770
124.351215,45.455002,-1.955189
124.375328,45.432703,-1.884645
80.488890,44.249300,-1.849439
80.490703,44.245205,-1.956589
80.496401,44.246508,-1.894304
85.096873,45.184815,-1.938278
80.689723,44.263462,-1.829889
80.701140,44.266049,-1.771261
80.718267,44.269927,-1.771261
80.723977,44.271220,-1.771261
80.697231,44.260654,-1.829889
80.693323,44.255259,-1.790811
80.699030,44.256552,-1.723002
80.712245,44.255035,-1.771261
80.742586,44.257390,-1.771261
80.706224,44.240143,-1.776400
80.645279,44.221812,-1.864650
80.650980,44.223107,-1.864650
80.811966,44.155823,-1.774612
80.819454,44.153002,-1.824213
80.809833,44.146326,-1.774612
80.815535,44.147611,-1.735962
80.821238,44.148896,-1.771423
80.826940,44.150180,-1.868949
80.832644,44.151464,-1.907599
80.823021,44.144790,-1.771423
80.830507,44.141967,-1.826000
80.853320,44.147101,-1.824213
80.701242,44.108269,-1.780828
80.706935,44.109559,-1.780828
80.714418,44.106745,-1.869078
80.845476,44.136321,-1.771423
80.847257,44.132214,-1.771261
80.714090,44.093149,-1.780828
80.719782,44.094437,-1.780828
80.725476,44.095725,-1.869078
123.458053,45.220588,-2.326363
80.730165,44.056223,-1.869078
80.460820,43.972390,-1.916146
80.468287,43.969593,-1.935663
123.526799,45.159459,-2.231241
84.617821,44.826067,-1.849043
122.279697,45.348082,-2.088550
122.272254,45.344736,-2.212594
122.193734,45.338924,-2.041444
80.484446,43.932738,-2.025787
122.271609,45.322298,-1.976124
122.270263,45.318001,-1.977297
122.268916,45.313703,-1.977297
80.497283,43.917652,-1.884136
80.709757,43.844360,-1.838190
80.739517,43.833076,-1.932047
80.727823,43.816921,-1.879163
80.619889,43.778942,-1.959128
124.399872,44.779047,-2.107274
124.405832,44.777993,-2.146384
124.411792,44.776940,-2.136384
121.934254,45.180583,-2.247127
124.392433,44.775854,-2.071384
124.398393,44.774801,-2.107274
124.404353,44.773748,-2.087915
80.676144,43.778201,-1.801397
84.097178,44.493273,-1.903075
84.103053,44.494399,-1.903632
124.379035,44.773714,-2.107274
124.390955,44.771609,-2.058805
124.396915,44.770556,-2.045250
84.098751,44.489069,-2.049149
124.395437,44.766311,-2.083459
124.370122,44.766274,-2.087915
124.368646,44.762028,-2.117274
84.115212,44.478704,-1.902667
84.121086,44.479828,-1.903075
124.361211,44.758833,-2.046730
124.367171,44.757782,-2.107274
124.373130,44.756730,-1.971200
80.639732,43.747426,-1.889647
80.645388,43.748710,-1.801397
124.353777,44.755637,-2.117274
124.365696,44.753536,-2.050060
124.371654,44.752485,-1.955189
124.370179,44.748239,-1.945189
124.376137,44.747187,-1.945771
80.701617,43.747949,-1.869078
80.707276,43.749230,-1.824213
80.712936,43.750511,-1.824213
80.716469,43.742305,-1.824213
80.722128,43.743586,-1.824213
84.077670,44.444476,-2.067365
80.718234,43.738202,-1.735962
80.723894,43.739483,-1.735962
84.080812,44.436067,-2.129418
80.733082,43.732555,-1.844781
84.129333,44.440856,-1.815325
84.135204,44.441979,-1.939051
84.141075,44.443101,-1.801373
84.146946,44.444223,-2.007742
84.130901,44.436650,-1.814918
84.136771,44.437773,-1.816803
84.142641,44.438895,-1.816395
84.148512,44.440017,-1.816803
84.138337,44.433567,-1.814918
124.124435,44.750740,-2.146384
122.095792,45.043132,-2.320297
124.230548,44.691670,-2.149726
124.229087,44.687421,-2.273958
124.404768,44.629489,-2.091078
124.410712,44.628438,-2.091078
122.291980,44.958607,-2.193263
124.046395,44.651653,-2.042274
123.998895,44.641851,-2.071384
122.132897,44.915760,-2.231241
122.016525,44.929190,-2.191908
122.022583,44.928260,-2.073487
122.101312,44.916136,-2.280334
122.125527,44.912395,-2.250936
122.131579,44.911459,-2.250936
122.137632,44.910523,-2.212594
121.868442,44.942816,-1.938942
122.019964,44.919653,-2.250936
121.877971,44.932356,-2.079810
122.023402,44.910115,-2.231241
121.749291,44.947362,-2.153264
121.882735,44.927127,-2.130064
81.736526,43.738043,-1.748044
81.698175,43.680263,-1.672942
124.089457,44.500045,-2.078816
124.088015,44.495792,-1.924083
124.074688,44.493601,-1.989083
123.999251,44.475136,-2.098510
123.991873,44.471907,-2.014985
124.175975,44.439950,-2.098510
124.181909,44.438915,-2.091078
81.828396,43.649797,-1.672942
86.515716,44.544789,-1.717602
123.846543,44.469879,-2.069401
124.102044,44.425804,-2.103153
123.839172,44.466638,-2.178836
123.940253,44.449284,-2.166078
123.843699,44.461359,-2.152130
123.932881,44.446050,-2.208530
123.938824,44.445027,-2.166078
123.913624,44.444859,-2.166078
124.059248,44.410715,-2.098510
86.102440,44.425104,-1.700515
86.097922,44.419825,-1.664897
86.093405,44.414546,-1.733139
86.099346,44.415567,-1.691732
82.168650,43.573743,-1.864351
121.320094,44.736564,-2.109493
82.170307,43.569594,-1.855286
82.244513,43.585226,-1.733357
82.250224,43.586427,-1.719637
82.240455,43.579874,-1.700530
82.246165,43.581075,-1.724082
123.432520,44.395855,-1.929212
123.425176,44.392580,-1.978037
123.431132,44.391584,-2.038952
123.423788,44.388310,-2.188836
85.739567,44.236072,-1.794874
120.735866,44.793757,-2.188836
121.572826,44.672113,-2.182807
85.593360,44.205837,-1.954369
85.652395,44.216253,-1.962876
121.414291,44.691162,-2.046144
85.594810,44.201592,-1.954369
85.647937,44.210966,-1.954369
121.429937,44.679843,-2.076412
85.621314,44.197269,-1.963434
121.428682,44.675526,-2.076412
82.304265,43.543794,-1.674730
82.309975,43.544991,-1.674730
82.315684,43.546188,-1.674730
121.974222,44.579890,-2.220150
122.015085,44.569122,-2.288886
122.057224,44.562643,-2.293320
82.296139,43.533095,-1.830673
82.353234,43.545053,-1.800255
82.358946,43.546247,-1.806671
122.049909,44.559267,-2.295020
122.055928,44.558340,-2.273770
82.366299,43.543286,-1.674730
122.054632,44.554037,-2.295578
82.362229,43.537938,-1.674730
82.367940,43.539131,-1.674730
86.163672,44.260012,-1.762875
86.169600,44.261026,-1.733840
86.187386,44.264068,-1.733840
122.053337,44.549734,-2.231241
122.059354,44.548808,-2.231241
86.159156,44.254738,-1.749851
86.165083,44.255752,-1.749851
86.171011,44.256766,-1.749851
86.176939,44.257780,-1.733840
86.182867,44.258794,-1.898078
122.058059,44.544505,-2.155272
86.154641,44.249463,-1.853212
86.160568,44.250478,-1.853212
86.166494,44.251492,-1.898078
86.172422,44.252506,-1.749851
86.178349,44.253520,-1.733840
86.184277,44.254533,-1.830864
122.062780,44.539276,-2.134296
86.156053,44.245203,-1.853212
86.161979,44.246218,-1.853212
86.167905,44.247232,-1.689556
86.476511,44.299568,-1.703475
82.363081,43.520125,-1.674730
82.368790,43.521319,-1.674730
86.157464,44.240943,-1.785998
86.163390,44.241958,-1.866235
86.169316,44.242972,-1.704986
122.036126,44.534372,-2.345913
122.042142,44.533447,-2.338944
82.347595,43.512390,-1.674730
82.359012,43.514777,-1.674730
122.093683,44.516503,-2.231241
122.099696,44.515575,-2.231241
82.554101,43.537380,-1.674730
123.850316,44.217104,-2.075840
