iter	Passed	Remaining
0	19	35719
1	64	58200
2	123	73955
3	180	81039
4	243	87719
5	292	87525
6	344	88436
7	405	91007
8	456	90967
9	498	89307
10	545	88876
11	592	88450
12	631	87004
13	660	84383
14	707	84365
15	753	84132
16	798	83876
17	838	83140
18	875	82196
19	919	81942
20	944	80165
21	990	80172
22	1034	80097
23	1080	80062
24	1128	80225
25	1178	80551
26	1230	80956
27	1257	79710
28	1304	79793
29	1330	78635
30	1380	78905
31	1425	78912
32	1474	79110
33	1526	79411
34	1590	80344
35	1654	81230
36	1717	81968
37	1775	82473
38	1799	81388
39	1849	81523
40	1896	81519
41	1943	81467
42	1991	81506
43	2032	81258
44	2075	81089
45	2123	81102
46	2175	81262
47	2221	81207
48	2269	81245
49	2318	81285
50	2367	81322
51	2421	81535
52	2465	81404
53	2513	81411
54	2557	81294
55	2608	81378
56	2642	80930
57	2655	79888
58	2703	79912
59	2745	79769
60	2791	79719
61	2833	79579
62	2867	79208
63	2912	79149
64	2955	79025
65	2989	78671
66	3034	78630
67	3060	78099
68	3093	77743
69	3139	77717
70	3185	77703
71	3237	77825
72	3287	77906
73	3336	77957
74	3384	77979
75	3405	77388
76	3420	76679
77	3476	76890
78	3523	76884
79	3573	76958
80	3620	76963
81	3671	77048
82	3718	77067
83	3771	77179
84	3817	77158
85	3874	77353
86	3927	77474
87	3986	77692
88	4044	77892
89	4088	77818
90	4111	77347
91	4164	77458
92	4221	77617
93	4273	77704
94	4301	77332
95	4364	77603
96	4416	77673
97	4445	77334
98	4503	77517
99	4557	77616
100	4609	77671
101	4663	77777
102	4709	77728
103	4778	78061
104	4822	77992
105	4880	78132
106	4928	78120
107	4949	77685
108	4998	77681
109	5044	77636
110	5102	77783
111	5149	77754
112	5198	77745
113	5224	77397
114	5237	76880
115	5288	76917
116	5333	76856
117	5380	76826
118	5427	76800
119	5474	76785
120	5518	76716
121	5568	76727
122	5614	76685
123	5627	76196
124	5677	76217
125	5721	76153
126	5766	76095
127	5812	76063
128	5855	75981
129	5898	75908
130	5941	75833
131	5989	75818
132	6043	75888
133	6100	75987
134	6124	75668
135	6178	75731
136	6233	75807
137	6280	75780
138	6295	75363
139	6344	75359
140	6391	75338
141	6444	75378
142	6498	75437
143	6537	75318
144	6585	75307
145	6636	75319
146	6684	75299
147	6725	75204
148	6772	75184
149	6817	75127
150	6831	74743
151	6878	74713
